product_id,active,name,category,price,on_sale,discount_amount,discount_percent,manufacturer,scale,height,hero,theme,series,material,packaging,accessories,range_of_motion,type,code,description,image_urls,dimensions
33,1,Brelok My Hero Academia POP! - Himiko Toga,7,35.90,0,,,"Funko
",,"4
 cm",Himiko Toga,Anime / Manga,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698697460,"Brelok do kluczy w postaci uroczej mini figurki POP! Himiko Toga. Wzorowany na postaci z anime / mangi My Hero Academia i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_4l3u-br.jpg,",
34,1,Brelok My Hero Academia POP! - Tomura Shigaraki,7,35.90,0,,,"Funko
",,"4
 cm",Tomura Shigaraki,Anime / Manga,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698697477,"Brelok do kluczy w postaci uroczej mini figurki POP! Tomura Shigaraki. Wzorowany na postaci z anime / mangi My Hero Academia i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_7va6-nc.jpg,",
35,1,Brelok Jujutsu Kaisen POP! - Nobara Kugisaki,7,35.90,0,,,"Funko
",,"4
 cm",Nobara Kugisaki,Anime / Manga,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698720502,"Brelok do kluczy w postaci uroczej mini figurki POP! Nobara Kugisaki. Wzorowany na postaci z anime / mangi Jujutsu Kaisen i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_kw34-s2.jpg,",
36,1,Brelok Star Wars POP! - Han Solo,7,35.90,0,,,"Funko
",,"4
 cm",Han Solo,Star Wars,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698530576,"Brelok do kluczy w postaci uroczej mini figurki POP! Han Solo. Wzorowany na postaci z uniwersum Gwiezdnych Wojen i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_bmre-ph.jpg,",
37,1,Brelok Marvel New Classics POP! - Kapitan Ameryka,7,35.90,0,,,"Funko
",,"4
 cm",Kapitan Ameryka,Marvel,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698824927,"Brelok do kluczy w postaci uroczej mini figurki POP! Kapitan Ameryka. Wzorowany na postaci z uniwersum Marvela i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_pjpv-mw.jpg,",
38,1,Brelok Overwatch 2 POP! - Tracer,7,35.90,0,,,"Funko
",,"4
 cm",Tracer,Blizzard,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698767422,"Brelok do kluczy w postaci uroczej mini figurki POP! Tracer. Wzorowany na postaci z gry komputerowej Overwatch 2 i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_cn2o-ht.jpg,",
39,1,Brelok Demon Slayer: Kimetsu no Yaiba POP! - Nezuko Kamado,7,35.90,0,,,"Funko
",,"4
 cm",Nezuko Kamado,Anime / Manga,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698656221,"Brelok do kluczy w postaci uroczej mini figurki POP! Nezuko Kamado. Wzorowany na postaci z anime / mangi Demon Slayer: Kimetsu no Yaiba i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_z5w7-ve.jpg,",
40,1,Brelok Smerfy POP! - Smerfetka,7,35.90,0,,,"Funko
",,"4
 cm",,Animacje,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698792561,"Brelok do kluczy w postaci uroczej mini figurki POP! Smerfetka. Wzorowany na postaci z serii animacji Smerfy i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_8k97-g1.jpg,",
41,1,Brelok Dragon Ball Super POP! - Super Saiyan Rose Goku Black (Świecący w ciemnościach),7,35.90,0,,,"Funko
",,"4
 cm",Goku Black,Anime / Manga,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698770064,"Brelok do kluczy w postaci uroczej mini figurki POP! Super Saiyan Rose Goku Black z elementami świecącymi w ciemnościach. Wzorowany na postaci z anime / mangi Dragon Ball Super i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_xrot-at.jpg,2_9ndr-2m.jpg,",
42,1,Brelok Chainsaw Man POP! - Denji,7,35.90,0,,,"Funko
",,"4
 cm",Denji,Anime / Manga,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698803250,"Brelok do kluczy w postaci uroczej mini figurki POP! Denji. Wzorowany na postaci z anime / mangi Chainsaw Man i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_rhlm-si.jpg,",
